signature,class_name,java_class_name,method_name,descriptor,access_flags,is_external,is_project_method,code_size,incoming_project_calls,outgoing_project_calls,outgoing_external_calls,reachable_from_manifest_entry,core_score
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3;->invoke(I)Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3,invoke,(I)Ljava/lang/Object;,public final,False,True,22,1,1,2,False,20
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3;->invoke(Ljava/lang/Object;)Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3,invoke,(Ljava/lang/Object;)Ljava/lang/Object;,public bridge synthetic,False,True,22,0,2,1,False,20
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4$$ExternalSynthetic$Condy0,get,()Ljava/lang/Object;,public static synthetic,False,True,35,3,1,0,False,15
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4;->$jacocoInit(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4,$jacocoInit,(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,public static synthetic,False,True,14,1,0,1,False,8
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4;-><init>(Ljava/util/List; Lkotlin/jvm/functions/Function2; Lkotlin/jvm/functions/Function1;)V,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4,<init>,(Ljava/util/List; Lkotlin/jvm/functions/Function2; Lkotlin/jvm/functions/Function1;)V,public constructor,False,True,21,1,1,1,False,7
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4;->invoke(Landroidx/compose/foundation/lazy/LazyItemScope; I Landroidx/compose/runtime/Composer; I)V,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4,invoke,(Landroidx/compose/foundation/lazy/LazyItemScope; I Landroidx/compose/runtime/Composer; I)V,public final,False,True,360,1,3,21,False,55
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4;->invoke(Ljava/lang/Object; Ljava/lang/Object; Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4,invoke,(Ljava/lang/Object; Ljava/lang/Object; Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,public bridge synthetic,False,True,37,0,2,2,False,22
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2;->$jacocoInit(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2,$jacocoInit,(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,public static synthetic,False,True,14,1,0,1,False,8
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2;->$r8$lambda$WBcZnkhXPwTR-BPR-MaTp--nqKo(Ljava/util/List; Lkotlin/jvm/functions/Function2; Lkotlin/jvm/functions/Function1; Landroidx/compose/foundation/lazy/LazyListScope;)Lkotlin/Unit;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2,$r8$lambda$WBcZnkhXPwTR-BPR-MaTp--nqKo,(Ljava/util/List; Lkotlin/jvm/functions/Function2; Lkotlin/jvm/functions/Function1; Landroidx/compose/foundation/lazy/LazyListScope;)Lkotlin/Unit;,public static synthetic,False,True,5,1,1,0,False,10
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2;-><init>(Landroidx/compose/ui/Modifier; I Ljava/util/List; Lkotlin/jvm/functions/Function2; Lkotlin/jvm/functions/Function1;)V,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2,<init>,(Landroidx/compose/ui/Modifier; I Ljava/util/List; Lkotlin/jvm/functions/Function2; Lkotlin/jvm/functions/Function1;)V,constructor,False,True,24,1,1,1,False,7
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2;->invoke$lambda$4$lambda$3$lambda$2(Ljava/util/List; Lkotlin/jvm/functions/Function2; Lkotlin/jvm/functions/Function1; Landroidx/compose/foundation/lazy/LazyListScope;)Lkotlin/Unit;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2,invoke$lambda$4$lambda$3$lambda$2,(Ljava/util/List; Lkotlin/jvm/functions/Function2; Lkotlin/jvm/functions/Function1; Landroidx/compose/foundation/lazy/LazyListScope;)Lkotlin/Unit;,private static final,False,True,74,1,3,4,False,22
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2;->invoke(Landroidx/compose/runtime/Composer; I)V,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2,invoke,(Landroidx/compose/runtime/Composer; I)V,public final,False,True,804,1,2,67,False,61
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2;->invoke(Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2,invoke,(Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,public bridge synthetic,False,True,27,0,2,1,False,20
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksScreen$2$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksScreen$2$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$2$$ExternalSynthetic$Condy0,get,()Ljava/lang/Object;,public static synthetic,False,True,35,8,1,0,False,25
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksScreen$2$$ExternalSyntheticLambda1;-><init>(Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksViewModel;)V,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksScreen$2$$ExternalSyntheticLambda1;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$2$$ExternalSyntheticLambda1,<init>,(Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksViewModel;)V,public synthetic constructor,False,True,6,1,0,1,False,4
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksScreen$2$$ExternalSyntheticLambda1;->invoke()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksScreen$2$$ExternalSyntheticLambda1;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$2$$ExternalSyntheticLambda1,invoke,()Ljava/lang/Object;,public final,False,True,7,0,1,0,False,16
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksScreen$2$$ExternalSyntheticLambda2;-><init>(Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksViewModel;)V,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksScreen$2$$ExternalSyntheticLambda2;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$2$$ExternalSyntheticLambda2,<init>,(Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksViewModel;)V,public synthetic constructor,False,True,6,1,0,1,False,4
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksScreen$2$$ExternalSyntheticLambda2;->invoke()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksScreen$2$$ExternalSyntheticLambda2;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$2$$ExternalSyntheticLambda2,invoke,()Ljava/lang/Object;,public final,False,True,7,0,1,0,False,16
